gene,pathway
W05E10.4,path:cel00500
Y105E8B.9,path:cel00500
Y43F4B.5,path:cel00500
Y46G5A.31,path:cel00500
Y87G2A.8,path:cel00500
B0361.8,path:cel00510
B0416.6,path:cel00510
C03E10.4,path:cel00510
C08B11.8,path:cel00510
C08H9.3,path:cel00510
C10F3.6,path:cel00510
C14A4.3,path:cel00510
C55B7.2,path:cel00510
D2030.1,path:cel00510
F09E5.2,path:cel00510
F13H10.4,path:cel00510
F28D1.11,path:cel00510
F40F9.6,path:cel00510
F48E3.1,path:cel00510
F52D1.1,path:cel00510
F57B10.10,path:cel00510
F58H1.1,path:cel00510
H43I07.3,path:cel00510
M01F1.1,path:cel00510
R10D12.12,path:cel00510
T03G11.4,path:cel00510
T09A5.11,path:cel00510
T12A2.2,path:cel00510
T22D1.4,path:cel00510
T26A5.4,path:cel00510
Y60A3A.14,path:cel00510
Y66H1A.2,path:cel00510
Y73E7A.7,path:cel00510
ZC410.3,path:cel00510
ZC513.5,path:cel00510
ZK686.3,path:cel00510
C14C11.3,path:cel00511
C33C12.3,path:cel00511
C33C12.8,path:cel00511
C33G3.4,path:cel00511
F01F1.10,path:cel00511
F11E6.1,path:cel00511
F55D10.1,path:cel00511
R04B3.2,path:cel00511
T14F9.3,path:cel00511
T19B10.3,path:cel00511
W03G11.3,path:cel00511
Y105E8A.10,path:cel00511
Y39A1C.4,path:cel00511
Y4C6B.6,path:cel00511
Y51F10.5,path:cel00511
Y70D2A.2,path:cel00511
C38H2.2,path:cel00512
T15D6.2,path:cel00512
Y116F11B.12,path:cel00512
Y39E4B.12,path:cel00512
